,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,tenders,group_economic_operator,subcontracting,contractors,contractors_countries,contractors_total_value,award_of_contracts_address,award_of_contracts_town,subcontracting_boolean
45,022827-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Maritime Surveillance Aerostat Trial,Services,,481 600.00 EUR,35120000 Surveillance and security systems and devices,Quality criterion - Name: technical score / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:022827-2019:TEXT:EN:HTML&src=0,481600.0,3,no,The contract is likely to be subcontracted,[' IN-innovative navigation GmbH'],[' Germany'],481 600.00 EUR,[' Leibnizstrasse 11'],[' Kornwestheim'],True
46,022826-2019,2019,Frontex,Poland,PL POLSKA,General public services,Delivery of Frontex Corporate Gifts,Services,,200 000.00 EUR,22000000 Printed matter and related products,Quality criterion - Name: Technical award criteria indicated in the tender documentation / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:022826-2019:TEXT:EN:HTML&src=0,200000.0,3,yes,,"[' Andree Group Andrzej Toffel', ' Decuatro Marketing Promocional S.L.', ' IGEP SA/NV']","[' Poland', ' Spain', ' Belgium']",200 000.00 EUR,"[' Sadowa 33H', ' C/Vinos Ribera del Duero,7 1ºB', ' rue du Trône 161']","[' Walendow', ' Valladolid', ' Brussels']",False
47,022825-2019,2019,Frontex,Poland,PL POLSKA,General public services,Provision of Cleaning Services for Frontex,Services,,1 200 000.00 EUR,"90000000 Sewage, refuse, cleaning and environmental services",Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:022825-2019:TEXT:EN:HTML&src=0,1200000.0,2,no,,[' DC System Company Sp z oo'],[' Poland'],1 200 000.00 EUR,[' Marsa 56a'],[' Warsaw'],False
48,022824-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Development of ICT Software Solution for the Management of Frontex Operational Resources – Opera System,Services,,8 000 000.00 EUR,72230000 Custom software development services,Quality criterion - Name: Technical award criteria according to the tender specification. / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:022824-2019:TEXT:EN:HTML&src=0,8000000.0,6,no,The contract is likely to be subcontracted,[' Asseco Poland SA'],[' Poland'],8 000 000.00 EUR,[' Ul.Olchowa 14'],[' Rzeszow'],True
49,022823-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,Defence,Framework Contract for Procurement of Crisis Management Consultancy,Services,,349 779.18 EUR,79430000 Crisis management services,Quality criterion - Name: Technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:022823-2019:TEXT:EN:HTML&src=0,349779.18,9,yes,,"[' Ricardo Nederland BV', ' Ricardo-AEA Ltd']","[' Netherlands', ' United Kingdom']",349 779.18 EUR,"[' Catharijnesingel 337 B01', ' Old Shoreham Road']","[' Utrecht', ' Shoreham-by-Sea']",False
50,536410-2018,2018,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Sanitary Supplies,Supplies,,180 000.00 EUR,33700000 Personal care products,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:536410-2018:TEXT:EN:HTML&src=0,180000.0,1,no,,[' Fleischhacker GmbH and Co. KG'],[' Germany'],180 000.00 EUR,[' An der Silberkuhle 18'],[' Schwerte'],False
51,531568-2018,2018,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Provision of Canteen Operator Services,Services,,1 999 800.00 EUR,55500000 Canteen and catering services,Quality criterion - Name: Technical evaluation / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:531568-2018:TEXT:EN:HTML&src=0,1999800.0,1,no,,[' Art’ Impression Catering Sp. z o.o.'],[' Poland'],1 999 800.00 EUR,[' Karczunkowska 170'],[' Warsaw'],False
52,509257-2018,2018,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Leasing of Off-road Vehicles for Frontex Operational Activities,Services,,2 000 000.00 EUR,34113000 4-wheel-drive vehicles,"Quality criterion - Name: Number of selected technical parameters of cars offered, warranty and maintenance / Weighting: 60",Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:509257-2018:TEXT:EN:HTML&src=0,2000000.0,1,no,,[' Car Master 2 sp. z o.o. sp.k.'],[' Poland'],1 000 000.00 EUR,[' Jasnogórska 97'],[' Krakow'],False
53,502706-2018,2018,Frontex,Poland,PL POLSKA,General public services,Framework Contract for Organisation of Events Outside of Poland,Services,,12 000 000.00 EUR,63000000 Supporting and auxiliary transport services; travel agencies services,Quality criterion - Name: Technical award criteria indicated in tender specifications / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:502706-2018:TEXT:EN:HTML&src=0,12000000.0,3,no,,[' Pomilio Blumm SRL'],[' Italy'],12 000 000.00 EUR,[' Via Venezia 4'],[' Pescara'],False
54,473919-2018,2018,Frontex,Poland,PL POLSKA,General public services,Provision of Office Supplies for Frontex,Supplies,,720 000.00 EUR,"30100000 Office machinery, equipment and supplies except computers, printers and furniture",Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:473919-2018:TEXT:EN:HTML&src=0,720000.0,1,no,,[' Jarosław Sztobryn Prooffice'],[' Poland'],720 000.00 EUR,[' Muszkieterów 15a'],[' Warsaw'],False
55,453471-2018,2018,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Supply of Document Inspection Devices for Frontex Joint Operations,Supplies,,2 000 000.00 EUR,35120000 Surveillance and security systems and devices,Quality criterion - Name: The merit of the technical proposal / Weighting: 40,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:453471-2018:TEXT:EN:HTML&src=0,2000000.0,1,no,,[' Regula Baltija Ltd'],[' Latvia'],1 000 000.00 EUR,NA,[' Daugavpils'],False
56,453471-2018,2018,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Supply of Document Inspection Devices for Frontex Joint Operations,Supplies,,2 000 000.00 EUR,35120000 Surveillance and security systems and devices,Quality criterion - Name: The merit of the technical proposal / Weighting: 40,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:453471-2018:TEXT:EN:HTML&src=0,2000000.0,2,no,,[' Regula Baltija Ltd'],[' Latvia'],800 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Daugavpils'],False
57,391665-2018,2018,Frontex,Poland,PL POLSKA,General public services,Single Framework Contract for the provision of ICT products and services for Eurosur,Services,,12 000 000.00 EUR,48000000 Software package and information systems,Quality criterion - Name: as indicated in the tender specifications / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:391665-2018:TEXT:EN:HTML&src=0,12000000.0,1,no,,[' GMV Aerospace and Defence SAU'],[' Spain'],12 000 000.00 EUR,"[' C/ Isaac Newton 11, PTM Tres Cantos,']",[' Madrid'],False
58,281156-2018,2018,Frontex,Poland,PL POLSKA,General public services,Provision of painting services for Frontex,Services,,200 000.00 EUR,45442110 Painting work of buildings,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:281156-2018:TEXT:EN:HTML&src=0,200000.0,3,no,,[' ZRB Walko Waldemar Koński'],[' Poland'],200 000.00 EUR,[' Ul. Spacerowa 1'],[' Legionowo'],False
59,281152-2018,2018,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,Framework contract for the supply of handheld carbon dioxide detectors,Supplies,,250 000.00 EUR,35120000 Surveillance and security systems and devices,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:281152-2018:TEXT:EN:HTML&src=0,250000.0,2,no,,[' Opticoelectron Group JSCo'],[' Bulgaria'],250 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Panagyurishte'],False
60,249435-2018,2018,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,Maritime analysis tools,Services,,783 000.00 EUR,72316000 Data analysis services,Quality criterion - Name: Technical merit / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:249435-2018:TEXT:EN:HTML&src=0,783000.0,5,no,,[' Windward Ltd'],[' Israel'],783 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Tel Aviv'],False
61,192608-2018,2018,Frontex,Poland,PL POLSKA,General public services,Delivery and installation of furniture,Supplies,,5 350 000.00 EUR,39100000 Furniture,Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:192608-2018:TEXT:EN:HTML&src=0,5350000.0,8,no,,[' Bene Warszawa Sp ZOO'],[' Poland'],4 500 000.00 EUR,[' Wołoska 9A'],[' Warsaw'],False
62,192608-2018,2018,Frontex,Poland,PL POLSKA,General public services,Delivery and installation of furniture,Supplies,,5 350 000.00 EUR,39100000 Furniture,Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:192608-2018:TEXT:EN:HTML&src=0,5350000.0,5,no,,[' Espes Office Sp ZOO'],[' Poland'],650 000.00 EUR,"[' Opacz- Kolonia, ul. Ewy 4']",[' Michałowice Osiedle'],False
63,192608-2018,2018,Frontex,Poland,PL POLSKA,General public services,Delivery and installation of furniture,Supplies,,5 350 000.00 EUR,39100000 Furniture,Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:192608-2018:TEXT:EN:HTML&src=0,5350000.0,6,no,,[' Bene Warszawa Sp ZOO'],[' Poland'],200 000.00 EUR,[' Wołoska 9A'],[' Warsaw'],False
64,118656-2018,2018,Frontex - European Border and Coast Guard Agency,Poland,PL911 Not specified,Defence,Framework Contract for Aerial Surveillance Services Assets and Expert Support Lot 1,Services,,14 500 000.00 EUR,60440000 Aerial and related services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:118656-2018:TEXT:EN:HTML&src=0,14500000.0,4,no,The contract is likely to be subcontracted,[' Diamond-Executive Aviation Ltd'],[' United Kingdom'],14 500 000.00 EUR,[' Retford Gamston Airport'],[' Retford'],True
65,118656-2018,2018,Frontex - European Border and Coast Guard Agency,Poland,PL911 Not specified,Defence,Framework Contract for Aerial Surveillance Services Assets and Expert Support Lot 1,Services,,14 500 000.00 EUR,60440000 Aerial and related services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:118656-2018:TEXT:EN:HTML&src=0,14500000.0,4,no,,[' CAE Aviation Sarl'],[' Luxembourg'],14 500 000.00 EUR,[' Luxembourg International Airport'],[' Luxembourg'],False
66,118656-2018,2018,Frontex - European Border and Coast Guard Agency,Poland,PL911 Not specified,Defence,Framework Contract for Aerial Surveillance Services Assets and Expert Support Lot 1,Services,,14 500 000.00 EUR,60440000 Aerial and related services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:118656-2018:TEXT:EN:HTML&src=0,14500000.0,4,no,,[' EASP Air BV'],[' Netherlands'],14 500 000.00 EUR,[' Stationsplein 286'],[' Schiphol'],False
67,118656-2018,2018,Frontex - European Border and Coast Guard Agency,Poland,PL911 Not specified,Defence,Framework Contract for Aerial Surveillance Services Assets and Expert Support Lot 1,Services,,14 500 000.00 EUR,60440000 Aerial and related services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:118656-2018:TEXT:EN:HTML&src=0,14500000.0,4,no,The contract is likely to be subcontracted,[' Indra Sistemas SA'],[' Spain'],14 500 000.00 EUR,"[' Avenida de Bruselas, 35']",[' Madrid'],True
68,109766-2018,2018,European Border and Coast Guard Agency - Frontex,Poland,PL911 Not specified,General public services,"Framework contract for the external quality assurance, accreditation and institutional review",Services,,1 400 000.00 EUR,80300000 Higher education services,Quality criterion - Name: Quality of the technical proposal / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:109766-2018:TEXT:EN:HTML&src=0,1400000.0,1,no,,[' City & Guilds of London Institute'],[' United Kingdom'],1 400 000.00 EUR,[' rue du Fort Niedergrünewald'],[' London'],False
69,109763-2018,2018,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,Framework contract for the supply of handheld equipment for border surveillance and border checks,Supplies,,100 000.00 EUR,35120000 Surveillance and security systems and devices,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:109763-2018:TEXT:EN:HTML&src=0,100000.0,2,no,,[' Optexim AD'],[' Bulgaria'],100 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Sofia'],False
70,077715-2018,2018,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,Framework contract for the supply of handheld equipment for border surveillance and border checks,Supplies,,2 500 000.00 EUR,35120000 Surveillance and security systems and devices,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:077715-2018:TEXT:EN:HTML&src=0,2500000.0,4,no,,[' OPTIX JSC'],[' Bulgaria'],1 250 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Sofia'],False
71,060068-2018,2018,European Border and Coast Guard Agency - Frontex,Poland,PL911 Not specified,General public services,Framework contract for the supply of handheld equipment for border surveillance and border checks,Supplies,,2 500 000.00 EUR,35120000 Surveillance and security systems and devices,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:060068-2018:TEXT:EN:HTML&src=0,2500000.0,1,no,,[' Opticoelectron Group'],[' Bulgaria'],500 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Panagyurishte'],False
72,060067-2018,2018,European Border and Coast Guard Agency - Frontex,Poland,PL911 Not specified,General public services,Framework contract for the supply of handheld equipment for border surveillance and border checks,Supplies,,2 500 000.00 EUR,35120000 Surveillance and security systems and devices,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:060067-2018:TEXT:EN:HTML&src=0,2500000.0,1,no,,[' Opticoelectron Group'],[' Bulgaria'],400 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Panagyurishte'],False
73,055820-2018,2018,European Border and Coast Guard Agency - Frontex,Poland,PL911 Not specified,General public services,Framework contract for the provision of handyman and messenger services for Frontex headquarters,Services,,400 000.00 EUR,50800000 Miscellaneous repair and maintenance services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:055820-2018:TEXT:EN:HTML&src=0,400000.0,2,no,,"[' Consortium of Oktagon Polska Paweł Toffel, AndRee GROUP Andrzej Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel']",[' Poland'],400 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Walendów'],False
74,024591-2018,2018,Frontex,Poland,PL POLSKA,General public services,Technical Support for Testing and Evaluation of a New Copernicus Service,Services,,500 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: Criteria indicated in the tender specifications / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:024591-2018:TEXT:EN:HTML&src=0,500000.0,9,yes,,"[' e-GEOS SPA', ' Telespazio France SAS']","[' Italy', ' France']",369 000.00 EUR,"[' Localita Terlecchie SNC', ' 26 av J.F. Champollion — BP 52309 6']","[' Matera', ' Toulouse']",False
75,010629-2018,2018,Frontex — European Border and Coast Guard Agency,Poland,PL911 Not specified,Defence,Trial of Remotely Piloted Aircraft System (RPAS) for long endurance Maritime Aerial Surveillance,Services,,6 447 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:010629-2018:TEXT:EN:HTML&src=0,6447000.0,3,no,,"[' Israel Aerospace Industries Limited, Malat Division']",[' Israel'],4 750 000.00 EUR,NA,[' Ben Gurion International Airport'],False
76,010629-2018,2018,Frontex — European Border and Coast Guard Agency,Poland,PL911 Not specified,Defence,Trial of Remotely Piloted Aircraft System (RPAS) for long endurance Maritime Aerial Surveillance,Services,,6 447 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:010629-2018:TEXT:EN:HTML&src=0,6447000.0,2,no,,[' Leonardo SPA'],[' Italy'],1 697 000.00 EUR,[' Piazza Monte Grappa 4'],[' Rome'],False
77,010627-2018,2018,Frontex - European Border and Coast Guard Agency,Poland,PL911 Not specified,Defence,Chartering aircraft and related services for return operations,Services,,20 000 000.00 EUR,60420000 Non-scheduled air transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:010627-2018:TEXT:EN:HTML&src=0,20000000.0,5,yes,,"[' AS Aircontact', ' Air Charter Service Limited']","[' Norway', ' United Kingdom']",18 000 000.00 EUR,"[' Karenslyst Alle 49', ' Millbank House, 171-185 Ewell Road, Surrey']","[' Oslo', ' Surbiton']",False
78,010627-2018,2018,Frontex - European Border and Coast Guard Agency,Poland,PL911 Not specified,Defence,Chartering aircraft and related services for return operations,Services,,20 000 000.00 EUR,60420000 Non-scheduled air transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:010627-2018:TEXT:EN:HTML&src=0,20000000.0,5,yes,,"[' AS Aircontact', ' Air Charter Service Limited']","[' Norway', ' United Kingdom']",2 000 000.00 EUR,"[' Karenslyst Alle 49', ' Millbank House, 171-185 Ewell Road, Surrey']","[' Oslo', ' Surbiton']",False
79,008449-2018,2018,FRONTEX,Poland,PL POLSKA,General public services,"Provision of HID® FARGO® HDP5000 ID card printers, consumables and services",Supplies,,190 000.00 EUR,"30000000 Office and computing machinery, equipment and supplies except furniture and software packages",Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:008449-2018:TEXT:EN:HTML&src=0,190000.0,4,no,,[' Control system FMN Sp z oo'],[' Poland'],190 000.00 EUR,[' Al. KEN 96 U 15'],[' Warsaw'],False
80,508644-2017,2017,Frontex,Poland,PL POLSKA,General public services,"Framework contract with reopening of competition for deliveries of ICT equipment, spare parts and accessories",Supplies,,2 000 000.00 EUR,30230000 Computer-related equipment,Quality criterion - Name: As indicated in the Tender Specifications / Weighting: 30,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:508644-2017:TEXT:EN:HTML&src=0,2000000.0,4,yes,,"[' Uni Business Centre BV', ' Nextis services s.r.o.', ' AutoCont CZ a.s.', ' Bechtle direct Polska sp z oo']","[' Netherlands', ' Czechia', ' Czechia', ' Poland']",2 000 000.00 EUR,"[' Zekeringstraat 9a', ' Krmelinska 934/4', ' Hornopolni 3322/34', ' Krakowska 119']","[' Amsterdam', ' Ostrava', ' Ostrava', ' Wroclaw']",False
81,508643-2017,2017,Frontex,Poland,PL POLSKA,General public services,Delivery and installation of office chairs,Supplies,,368 000.00 EUR,39100000 Furniture,Quality criterion - Name: As indicated in the Tender Specifications / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:508643-2017:TEXT:EN:HTML&src=0,368000.0,7,no,,[' Profil nabytek as'],[' Czechia'],368 000.00 EUR,[' Hradska 280'],[' Humpolec'],False
82,437394-2017,2017,Frontex,Poland,PL POLSKA,General public services,Office materials with Frontex corporate identity.,Services,,180 000.00 EUR,"22800000 Paper or paperboard registers, account books, binders, forms and other articles of printed stationery",Quality criterion - Name: As stated in the tender documents / Weighting: 40,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:437394-2017:TEXT:EN:HTML&src=0,180000.0,4,no,,[' Arch sc Mirosława Nowicka Marek Nowicki'],[' Poland'],180 000.00 EUR,[' Żeliwna 43'],[' Katowice'],False
83,422204-2017,2017,Frontex,Poland,PL911 Not specified,General public services,Environmental assessment — meteorological and oceanographic services.,Services,,3 200 000.00 EUR,48614000 Data-acquisition system,Quality criterion - Name: As per tender specifications / Weighting: 50,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:422204-2017:TEXT:EN:HTML&src=0,3200000.0,3,no,,[' MeteoGroup Nederland B.V.'],[' Netherlands'],3 200 000.00 EUR,[' Agro Business Park 99–101'],[' Wageningen'],False
84,417410-2017,2017,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,"Multiple framework contract for the provision of services related to SAS software, Microsoft BI and ESRI GIS.",Services,,1 100 000.00 EUR,72200000 Software programming and consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:417410-2017:TEXT:EN:HTML&src=0,1100000.0,4,yes,,"[' Dotsoft SA', ' Epsilon Malta Ltd']","[' Greece', ' Malta']",1 100 000.00 EUR,NA,"[' Thessaloniki', ' Swatar']",False
85,417410-2017,2017,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,"Multiple framework contract for the provision of services related to SAS software, Microsoft BI and ESRI GIS.",Services,,1 100 000.00 EUR,72200000 Software programming and consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:417410-2017:TEXT:EN:HTML&src=0,1100000.0,4,yes,,"[' Asseco Poland SA', ' ESRI Polska Sp. z o.o.']","[' Poland', ' Poland']",1 100 000.00 EUR,NA,"[' Warsaw', ' Warszawa']",False
86,417410-2017,2017,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,"Multiple framework contract for the provision of services related to SAS software, Microsoft BI and ESRI GIS.",Services,,1 100 000.00 EUR,72200000 Software programming and consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:417410-2017:TEXT:EN:HTML&src=0,1100000.0,4,no,,[' GeneGIS GI Srl (former GESP Srl)'],[' Italy'],1 100 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Milan MI'],False
87,412856-2017,2017,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,Framework contract for the provision of reflective Frontex labelled vests.,Supplies,,1 120 000.00 EUR,"18100000 Occupational clothing, special workwear and accessories",Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:412856-2017:TEXT:EN:HTML&src=0,1120000.0,2,no,,[' BATEX Technische Textilien GmbH'],[' Germany'],1 120 000.00 EUR,[' OT Bretnig'],[' Großröhrsdorf'],False
88,367807-2017,2017,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,"Multiple framework contract for the provision of services related to SAS software, Microsoft BI and ESRI GIS.",Services,,600 000.00 EUR,72200000 Software programming and consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:367807-2017:TEXT:EN:HTML&src=0,600000.0,2,no,,[' Pentacomp Systemy Informatyczne S.A.'],[' Poland'],600 000.00 EUR,NA,[' Warsaw'],False
89,367807-2017,2017,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,"Multiple framework contract for the provision of services related to SAS software, Microsoft BI and ESRI GIS.",Services,,600 000.00 EUR,72200000 Software programming and consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:367807-2017:TEXT:EN:HTML&src=0,600000.0,2,no,,[' Fabrity K2 Sp. z o.o.'],[' Poland'],600 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Warsaw'],False
90,351634-2017,2017,Frontex — European Border and Coast Guard Agency,Poland,PL911 Not specified,Defence,Amendment No 2 to the contract ‘MyFrontex digital workplace (COTS-based intranet)’.,Services,,439 593.32 EUR,48000000 Software package and information systems,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:351634-2017:TEXT:EN:HTML&src=0,439593.32,1,no,,[' Netcompany IT and Business Consulting A/S'],[' Denmark'],439 593.32 EUR,[' Gronningen 17'],[' Copenhagen'],False
91,321184-2017,2017,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,"Multiple framework contract for the provision of services related to SAS software, Microsoft BI and ESRI GIS.",Services,,1 900 000.00 EUR,72200000 Software programming and consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:321184-2017:TEXT:EN:HTML&src=0,1900000.0,1,no,,[' SAS Institute Polska Sp. z o.o.'],[' Poland'],1 900 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Warsaw'],False
92,265067-2017,2017,Frontex,Poland,PL911 Not specified,General public services,Framework contract for passenger ferry transfer services.,Services,,4 000 000.00 EUR,60610000 Ferry transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:265067-2017:TEXT:EN:HTML&src=0,4000000.0,4,no,,[' Sunrise Lines E.P.E. (Ltd)'],[' Greece'],2 000 000.00 EUR,[' Profiti Ilias Vrontados'],[' Vrontados'],False
93,265067-2017,2017,Frontex,Poland,PL911 Not specified,General public services,Framework contract for passenger ferry transfer services.,Services,,4 000 000.00 EUR,60610000 Ferry transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:265067-2017:TEXT:EN:HTML&src=0,4000000.0,3,no,,[' Pantelopoulos Panagiotis'],[' Greece'],1 000 000.00 EUR,[' Chrysanthou Thermioti 1'],[' Mitilini'],False
94,265067-2017,2017,Frontex,Poland,PL911 Not specified,General public services,Framework contract for passenger ferry transfer services.,Services,,4 000 000.00 EUR,60610000 Ferry transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:265067-2017:TEXT:EN:HTML&src=0,4000000.0,3,no,,[' Samwell Limited'],[' Cyprus'],1 000 000.00 EUR,"[' Kolokotroni Street 6, Agios Dometios']",[' Nicosia'],False
95,251218-2017,2017,European Border and Coast Guard Agency — Frontex,Poland,PL911 Not specified,General public services,Framework contract for the implementation of advanced electronic signature with qualified certificate for Frontex documents and workflows.,Services,,234 035.00 EUR,48000000 Software package and information systems,Quality criterion - Name: Quality of the technical proposal as described in detail in the tender specifications / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:251218-2017:TEXT:EN:HTML&src=0,234035.0,4,no,,[' InfoCert S.p.A.'],[' Italy'],234 035.00 EUR,[' rue du Fort Niedergrünewald'],[' Rome (RM)'],False
96,131551-2017,2017,Frontex — European Border and Coast Guard Agency,Poland,PL127 Miasto Warszawa,Defence,Mobile telecommunication services and equipment.,Services,,8 954 400.00 PLN,64200000 Telecommunications services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:131551-2017:TEXT:EN:HTML&src=0,1969968.0,2,no,,[' Polkomtel Sp. z o.o.'],[' Poland'],8 954 400.00 PLN,[' Konstruktorska 4'],[' Warsaw'],False
97,025283-2017,2017,Frontex,Poland,PL127 Miasto Warszawa,General public services,Purchase of the digital surface model along the EU borders.,Services,,250 000.00 EUR,72319000 Data supply services,Quality criterion - Name: DSM resolution / Weighting: 20,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:025283-2017:TEXT:EN:HTML&src=0,250000.0,3,no,,[' GAF AG'],[' Germany'],228 600.00 EUR,[' Arnulfstraße 199'],[' München'],False
